# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = SIR_typhi_notheta_norI2_jun3_model
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 50
#       term_buffer = 45
#       window = 5
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 6
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = temp.data.R
# init = temp.init.R
# random
#   seed = 2454491356
# output
#   file = outputnotheta_norI2_jun26.csv
#   diagnostic_file =  (Default)
#   refresh = 10
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,params.6,params.7,params.8,blood.1,blood.2,blood.3,blood.4,blood.5,blood.6,blood.7,prop
# Adaptation terminated
# Step size = 0.418136
# Diagonal elements of inverse mass matrix:
# 0.0133717, 0.611689, 0.105808, 0.014638, 0.0164187, 0.28856
157.329,1,0.418136,3,7,0,0.332608,0.695958,2.3742,0.140732,0.296528,0.327542,0.165837,0.301646,0.332608,0.332608,0.332608,0.332608,0.332608,0.327542,0.245323,0.245323,0.71821,0.71821,0.71821,0.71821,0.71821,0.256605
156.458,0.982213,0.418136,3,7,0,0.298841,1.20202,1.87898,0.184001,0.268091,0.423468,0.0898277,0.253194,0.298841,0.298841,0.298841,0.298841,0.298841,0.423468,0.307884,0.307884,0.8091,0.8091,0.8091,0.8091,0.8091,0.235162
158.273,0.965694,0.418136,3,7,0,0.30379,1.0636,2.56849,0.17764,0.283029,0.400793,0.104871,0.280504,0.30379,0.30379,0.30379,0.30379,0.30379,0.400793,0.299023,0.299023,0.797854,0.797854,0.797854,0.797854,0.797854,0.246502
156.219,0.593943,0.418136,4,15,0,0.310387,0.0434499,3.28525,0.152294,0.375886,0.218327,0.297189,0.298769,0.310387,0.310387,0.310387,0.310387,0.310387,0.218327,0.262574,0.262574,0.746058,0.746058,0.746058,0.746058,0.746058,0.313319
157.216,0.966396,0.418136,3,7,0,0.32082,0.132239,3.17461,0.155328,0.427717,0.329829,0.281081,0.307407,0.32082,0.32082,0.32082,0.32082,0.32082,0.329829,0.267034,0.267034,0.752898,0.752898,0.752898,0.752898,0.752898,0.348004
156.436,0.973651,0.418136,3,7,0,0.343262,1.058,3.58977,0.127367,0.305449,0.253985,0.119163,0.333786,0.343262,0.343262,0.343262,0.343262,0.343262,0.253985,0.224877,0.224877,0.68219,0.68219,0.68219,0.68219,0.68219,0.263208
158.201,1,0.418136,2,3,0,0.336571,1.49573,2.94643,0.137796,0.319435,0.275665,0.0754201,0.318892,0.336571,0.336571,0.336571,0.336571,0.336571,0.275665,0.240877,0.240877,0.710663,0.710663,0.710663,0.710663,0.710663,0.273441
156.486,0.891341,0.418136,3,7,0,0.325288,0.563859,1.85118,0.140773,0.3094,0.200909,0.185092,0.274201,0.325288,0.325288,0.325288,0.325288,0.325288,0.200909,0.245384,0.245384,0.718313,0.718313,0.718313,0.718313,0.718313,0.266113
155.357,0.97786,0.418136,3,7,0,0.323978,1.92684,3.78381,0.117341,0.338479,0.40383,0.0471738,0.316612,0.323978,0.323978,0.323978,0.323978,0.323978,0.40383,0.209177,0.209177,0.652178,0.652178,0.652178,0.652178,0.652178,0.287146
152.361,0.939694,0.418136,4,15,0,0.332081,0.462692,1.82188,0.117813,0.55753,0.325709,0.209074,0.278377,0.332081,0.332081,0.332081,0.332081,0.332081,0.325709,0.209924,0.209924,0.653654,0.653654,0.653654,0.653654,0.653654,0.427378
