"","beta","r","logm1","logm2","sensrate","prop"
"272",0.321965,0.459467,0.236358,1.79593,0.149755,0.306904
"273",0.309031,0.415459,0.117794,2.18197,0.150454,0.300299
"274",0.294575,0.331013,0.132447,3.46723,0.168255,0.298343
"275",0.273812,0.427009,0.137867,4.31745,0.175124,0.253993
"276",0.310338,0.302149,0.560249,2.72795,0.161058,0.287397
"277",0.33015,0.566341,1.28671,3.10996,0.163196,0.269695
"278",0.308673,0.276343,0.691922,3.89884,0.14239,0.291137
"279",0.367142,0.225308,1.03418,5.22844,0.131163,0.316494
"280",0.333582,0.15112,0.546522,3.82571,0.109555,0.396373
"281",0.369818,0.16501,0.102722,2.39369,0.124787,0.368396
"282",0.33538,0.127255,0.0510634,3.14664,0.128359,0.422226
"283",0.363482,0.200059,0.0739728,6.3873,0.11929,0.420359
"284",0.337232,0.248364,0.24971,7.18592,0.116932,0.397817
"285",0.350029,0.269564,0.231615,7.34438,0.115086,0.400618
"286",0.375747,0.179576,1.63433,2.48281,0.0984865,0.37742
"287",0.345291,0.296007,0.242468,3.54471,0.13825,0.374059
"288",0.343595,0.0900584,0.589081,3.2225,0.126826,0.315439
"289",0.333357,0.0915884,0.708089,3.29745,0.12536,0.30025
"290",0.3527,0.192215,0.228839,2.86891,0.166157,0.299538
"291",0.301458,0.454568,1.06291,2.28229,0.140656,0.298977
"292",0.310938,0.439749,0.822893,3.05371,0.132261,0.303479
"293",0.323679,0.471105,0.338062,3.43041,0.161354,0.337586
"294",0.322979,0.370522,1.55258,2.42726,0.115486,0.300197
"295",0.3458,0.383471,0.786,3.49015,0.151233,0.286894
"296",0.345843,0.397272,0.900396,3.45848,0.152886,0.285276
"297",0.307579,0.274706,0.361144,2.77642,0.13551,0.323461
"298",0.312641,0.395911,0.470287,3.66986,0.138167,0.361469
"299",0.321814,0.234316,0.449073,2.15328,0.159363,0.28994
"300",0.332672,0.207282,0.653881,3.88388,0.146818,0.276168
"301",0.336326,0.183973,0.58027,2.70701,0.141391,0.296426
"302",0.336423,0.315972,1.62612,3.58552,0.184931,0.244028
"303",0.349927,0.338244,1.03644,3.6851,0.176938,0.245159
"304",0.349351,0.272227,0.210706,2.84719,0.137953,0.343598
"305",0.352281,0.284219,0.199598,3.29644,0.134282,0.340136
"306",0.351109,0.243315,0.585153,3.45296,0.131599,0.43248
"307",0.38102,0.266694,0.105445,2.41482,0.0985625,0.462092
"308",0.366315,0.183936,0.273478,3.28217,0.102871,0.473998
"309",0.362968,0.290791,0.211972,2.24637,0.119484,0.417251
"310",0.341716,0.372794,0.021693,3.33258,0.119731,0.47301
"311",0.279632,0.350628,0.00575035,3.25369,0.15021,0.296603
"312",0.359573,0.254453,1.19308,2.99975,0.147681,0.342436
"313",0.292944,0.642582,0.177912,3.71419,0.168602,0.29311
"314",0.29382,0.631037,0.156645,3.63875,0.170615,0.289629
"315",0.327588,0.374632,0.72227,1.9913,0.142523,0.285243
"316",0.302353,0.297394,0.860409,3.36124,0.190804,0.268309
"317",0.326462,0.321589,0.62944,6.05065,0.179671,0.259025
"318",0.345783,0.350086,1.14521,6.8655,0.173426,0.263947
"319",0.339206,0.475088,1.07356,3.47812,0.184626,0.276686
"320",0.329179,0.169338,0.715059,2.06272,0.188928,0.225238
"321",0.32351,0.263615,0.584615,3.36391,0.161948,0.285816
"322",0.310033,0.309107,0.684743,2.59896,0.137891,0.269383
"323",0.322621,0.381194,3.29991,2.27769,0.119191,0.254
"324",0.32888,0.352889,2.97123,2.62373,0.12101,0.262344
"325",0.32888,0.352889,2.97123,2.62373,0.12101,0.262344
"326",0.326692,0.328959,0.691779,2.58498,0.109671,0.250869
"327",0.313482,0.307367,1.5839,1.9134,0.105912,0.252317
"328",0.323379,0.318758,1.26734,2.52448,0.122236,0.257811
"329",0.342218,0.3187,0.621022,1.83502,0.149761,0.293777
"330",0.332582,0.354333,0.607929,2.47634,0.131218,0.309998
"331",0.328207,0.365194,0.923076,3.04148,0.169854,0.274031
"332",0.307961,0.329846,1.01463,3.28346,0.159579,0.254632
"333",0.315239,0.327295,0.808101,4.50198,0.151413,0.250156
"334",0.333596,0.359842,0.73793,1.88379,0.154805,0.275365
"335",0.333596,0.359842,0.73793,1.88379,0.154805,0.275365
"336",0.335153,0.195855,1.32722,4.07462,0.155092,0.24916
"337",0.313401,0.405341,0.613356,2.79127,0.161114,0.309423
"338",0.337101,0.611687,0.59142,2.96462,0.142985,0.333016
"339",0.334469,0.621611,0.604558,2.05498,0.165393,0.316684
"340",0.309588,0.31816,0.841386,2.46487,0.129206,0.260393
"341",0.320404,0.373316,0.734135,2.87346,0.134111,0.268994
"342",0.298341,0.248727,0.151613,2.90777,0.159509,0.300478
"343",0.306746,0.283607,0.647982,3.49191,0.160776,0.284214
"344",0.315521,0.275904,1.17663,4.2708,0.144432,0.270989
"345",0.326226,0.384844,1.28342,3.74076,0.145688,0.269843
"346",0.326226,0.384844,1.28342,3.74076,0.145688,0.269843
"347",0.322199,0.267411,0.366573,2.40983,0.170579,0.283265
"348",0.329996,0.346269,0.564656,1.99086,0.187488,0.295081
"349",0.296,0.389276,0.56501,3.42973,0.131333,0.319408
"350",0.266091,0.546483,0.256687,3.19868,0.160915,0.273528
"351",0.266758,0.598641,0.270073,2.90516,0.151041,0.289469
"352",0.266243,0.583409,0.262953,2.54625,0.147414,0.27998
"353",0.266207,0.669742,0.276342,2.51959,0.150874,0.282056
"354",0.304166,0.386521,0.0116662,3.59792,0.123561,0.402196
"355",0.320344,0.227316,0.01995,2.7386,0.138264,0.345269
"356",0.294638,0.467153,0.0260586,3.63428,0.15184,0.304283
"357",0.291485,0.32303,0.417541,2.50442,0.146457,0.312116
"358",0.316303,0.352965,0.422847,2.92548,0.125897,0.299522
"359",0.318576,0.343764,0.442625,3.39289,0.131482,0.293901
"360",0.313159,0.283886,0.354156,3.1653,0.159789,0.307897
"361",0.334201,0.226232,0.365581,2.28156,0.178259,0.261487
"362",0.324919,0.510676,1.17617,2.44712,0.161046,0.248196
"363",0.292058,0.300675,0.297853,4.00664,0.161551,0.280889
"364",0.335692,0.632163,0.86907,2.96883,0.131609,0.302638
"365",0.269755,0.433584,0.380456,2.9459,0.105053,0.351058
"366",0.274052,0.405442,0.969143,3.5886,0.118425,0.338208
"367",0.283722,0.308437,0.484952,2.98463,0.121702,0.321883
"368",0.324515,0.598641,0.76695,3.42532,0.1582,0.275194
"369",0.329968,0.423125,1.63985,3.06932,0.157706,0.276884
"370",0.292872,0.449665,0.129461,2.95931,0.138642,0.338989
"371",0.320753,0.199845,0.0587032,2.91206,0.171117,0.301359
"372",0.318591,0.315584,0.266209,3.83255,0.139876,0.344504
"373",0.324316,0.298096,0.245146,4.30617,0.148872,0.329311
"374",0.328183,0.337963,0.430996,2.06187,0.162933,0.2952
"375",0.338581,0.321253,0.840412,2.86477,0.12429,0.30617
"376",0.325008,0.281367,0.742045,4.1415,0.134248,0.327519
"377",0.330933,0.182285,0.731723,3.85712,0.149984,0.296625
"378",0.330808,0.375326,0.463293,4.72269,0.137965,0.348031
"379",0.370152,0.300923,0.512502,1.78456,0.13054,0.352987
"380",0.299797,0.478007,1.44789,3.67896,0.185785,0.237233
"381",0.348277,0.117245,0.753959,2.41995,0.159918,0.283641
"382",0.356546,0.172752,0.599776,2.52726,0.161383,0.294276
