# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = SIR_typhi_notheta_norI2_jun3_model
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 50
#       term_buffer = 45
#       window = 5
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 6
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = temp.data.R
# init = temp.init.R
# random
#   seed = 2454467434
# output
#   file = outputnotheta_norI2_jun26.csv
#   diagnostic_file =  (Default)
#   refresh = 10
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,params.6,params.7,blood.1,blood.2,blood.3,blood.4,blood.5,blood.6,prop
# Adaptation terminated
# Step size = 0.450852
# Diagonal elements of inverse mass matrix:
# 0.048736, 0.139795, 0.323374, 0.0188067, 0.106381, 0.255538
-46.5389,0.999327,0.450852,3,7,0,0.383185,1.21615,3.00225,0.178891,3.21662,0.463845,0.113564,0.36415,0.383185,0.383185,0.383185,0.383185,0.463845,0.300774,0.300774,0.511083,0.511083,0.511083,0.511083,0.95991
-49.2111,0.949432,0.450852,3,7,0,0.419947,2.61215,2.09167,0.185584,3.4324,0.562068,0.0308144,0.368091,0.419947,0.419947,0.419947,0.419947,0.562068,0.310072,0.310072,0.523999,0.523999,0.523999,0.523999,0.967691
-50.2003,0.997176,0.450852,3,7,0,0.366489,0.943187,1.22891,0.130595,2.30032,0.646142,0.142705,0.25925,0.366489,0.366489,0.366489,0.366489,0.646142,0.229866,0.229866,0.406893,0.406893,0.406893,0.406893,0.899774
-48.8117,1,0.450852,2,3,0,0.35992,1.21427,1.37087,0.134492,2.21539,0.653167,0.10687,0.268541,0.35992,0.35992,0.35992,0.35992,0.653167,0.235845,0.235845,0.416067,0.416067,0.416067,0.416067,0.89089
-46.6121,0.986914,0.450852,3,7,0,0.455583,2.18393,2.08891,0.177396,2.14371,0.452042,0.0512975,0.399171,0.455583,0.455583,0.455583,0.455583,0.452042,0.298681,0.298681,0.508152,0.508152,0.508152,0.508152,0.882781
-45.3031,1,0.450852,3,7,0,0.35427,1.41981,2.16057,0.146795,3.22544,0.360116,0.0856481,0.313437,0.35427,0.35427,0.35427,0.35427,0.360116,0.254418,0.254418,0.444107,0.444107,0.444107,0.444107,0.960262
-48.8152,0.94031,0.450852,3,7,0,0.552026,2.18342,0.894866,0.181763,1.62857,0.17796,0.0621891,0.326434,0.552026,0.552026,0.552026,0.552026,0.17796,0.304779,0.304779,0.516668,0.516668,0.516668,0.516668,0.80379
-50.2901,0.905523,0.450852,3,7,0,0.522938,2.22425,0.514913,0.158741,1.29727,0.2318,0.056555,0.210455,0.522938,0.522938,0.522938,0.522938,0.2318,0.27202,0.27202,0.470046,0.470046,0.470046,0.470046,0.726724
-49.768,0.872452,0.450852,3,7,0,0.412854,2.40051,1.58206,0.165492,7.68993,0.28487,0.0374342,0.327991,0.412854,0.412854,0.412854,0.412854,0.28487,0.281783,0.281783,0.484164,0.484164,0.484164,0.484164,0.999543
-48.996,0.855342,0.450852,3,7,0,0.418407,0.73679,1.86346,0.163205,3.82982,0.41468,0.20027,0.353498,0.418407,0.418407,0.418407,0.418407,0.41468,0.278491,0.278491,0.479424,0.479424,0.479424,0.479424,0.978287
-46.0795,0.973087,0.450852,3,7,0,0.370744,1.59267,1.78197,0.183303,2.27602,0.49629,0.0754026,0.308346,0.370744,0.370744,0.370744,0.370744,0.49629,0.306917,0.306917,0.519637,0.519637,0.519637,0.519637,0.897308
-47.1959,0.950695,0.450852,2,3,0,0.407471,1.23808,1.1875,0.171357,1.87886,0.55736,0.118142,0.2832,0.407471,0.407471,0.407471,0.407471,0.55736,0.290159,0.290159,0.496126,0.496126,0.496126,0.496126,0.847236
-45.4288,0.961021,0.450852,3,7,0,0.369106,1.41255,2.15751,0.143423,3.01158,0.46714,0.0898854,0.326432,0.369106,0.369106,0.369106,0.369106,0.46714,0.249372,0.249372,0.436558,0.436558,0.436558,0.436558,0.950786
-50.293,0.633201,0.450852,3,7,0,0.419551,0.658023,1.64224,0.148679,4.65169,0.411343,0.217275,0.338349,0.419551,0.419551,0.419551,0.419551,0.411343,0.257222,0.257222,0.44828,0.44828,0.44828,0.44828,0.990455
-47.726,0.958253,0.450852,3,7,0,0.385128,1.27168,2.56897,0.148312,3.86231,0.122706,0.107974,0.355622,0.385128,0.385128,0.385128,0.385128,0.122706,0.256677,0.256677,0.44747,0.44747,0.44747,0.44747,0.978981
-46.5761,0.944809,0.450852,3,7,0,0.392283,1.47312,4.24343,0.165284,2.5372,0.482652,0.0899152,0.386651,0.392283,0.392283,0.392283,0.392283,0.482652,0.281484,0.281484,0.483735,0.483735,0.483735,0.483735,0.920912
-49.1187,0.759719,0.450852,3,7,0,0.447326,1.56188,2.72912,0.123315,2.60906,0.362171,0.0938228,0.418126,0.447326,0.447326,0.447326,0.447326,0.362171,0.218571,0.218571,0.389368,0.389368,0.389368,0.389368,0.926397
-48.0466,1,0.450852,3,7,0,0.357052,1.48004,1.93108,0.207146,2.27535,0.389063,0.0812755,0.305282,0.357052,0.357052,0.357052,0.357052,0.389063,0.339192,0.339192,0.563333,0.563333,0.563333,0.563333,0.897239
-46.0275,1,0.450852,3,7,0,0.386048,1.62789,3.28515,0.168758,2.42039,0.512012,0.0757977,0.371596,0.386048,0.386048,0.386048,0.386048,0.512012,0.286459,0.286459,0.490859,0.490859,0.490859,0.490859,0.911113
-48.6212,0.830228,0.450852,2,3,0,0.333753,2.14529,1.54835,0.147998,2.44256,0.580551,0.0390603,0.262798,0.333753,0.333753,0.333753,0.333753,0.580551,0.256209,0.256209,0.446775,0.446775,0.446775,0.446775,0.913062
-49.1278,0.963673,0.450852,3,7,0,0.375614,1.72326,2.79647,0.134073,1.54656,0.495978,0.0670411,0.352692,0.375614,0.375614,0.375614,0.375614,0.495978,0.235204,0.235204,0.415087,0.415087,0.415087,0.415087,0.78702
-50.5631,0.980936,0.450852,3,7,0,0.371551,0.980057,2.20886,0.190104,4.08572,0.675603,0.139439,0.330745,0.371551,0.371551,0.371551,0.371551,0.675603,0.316281,0.316281,0.532529,0.532529,0.532529,0.532529,0.983189
-47.2798,0.914229,0.450852,3,7,0,0.443445,1.78693,2.14953,0.133614,2.56324,0.166346,0.0742654,0.391767,0.443445,0.443445,0.443445,0.443445,0.166346,0.234501,0.234501,0.414012,0.414012,0.414012,0.414012,0.922945
-47.7848,0.976985,0.450852,2,3,0,0.443392,2.29813,2.45804,0.138515,2.7334,0.151696,0.0445372,0.405437,0.443392,0.443392,0.443392,0.443392,0.151696,0.241968,0.241968,0.425387,0.425387,0.425387,0.425387,0.935002
-45.9984,0.79316,0.450852,2,3,0,0.458945,1.58769,1.78732,0.147275,2.7094,0.205499,0.0938069,0.382113,0.458945,0.458945,0.458945,0.458945,0.205499,0.255133,0.255133,0.445174,0.445174,0.445174,0.445174,0.933424
-48.2275,0.792799,0.450852,2,3,0,0.410525,1.51926,0.96026,0.195607,1.79391,0.194963,0.0898534,0.253379,0.410525,0.410525,0.410525,0.410525,0.194963,0.323764,0.323764,0.542705,0.542705,0.542705,0.542705,0.833691
-49.3116,0.825087,0.450852,2,3,0,0.396704,1.91757,1.26295,0.204374,1.2557,0.201323,0.0583009,0.284509,0.396704,0.396704,0.396704,0.396704,0.201323,0.335519,0.335519,0.558465,0.558465,0.558465,0.558465,0.715122
