"","beta","r","logm1","logm2","sensrate","prop"
"164",0.409192,0.32419,1.32978,1.24194,0.156749,0.979187
"165",0.374438,0.602851,1.32114,1.77193,0.159611,0.849689
"166",0.384287,0.526219,3.01336,2.44255,0.175468,0.887919
"167",0.392345,0.436823,2.92579,3.32924,0.166597,0.855419
"168",0.393035,0.420079,1.73121,2.98899,0.205208,0.950417
"169",0.45501,0.17601,2.34233,1.19596,0.153405,0.715654
"170",0.458621,0.167006,2.08793,0.935289,0.148491,0.738161
"171",0.333411,0.365331,1.62099,2.04643,0.154934,0.985712
"172",0.434732,0.336435,1.69569,1.58986,0.159757,0.934741
"173",0.416612,0.164004,1.8457,2.53402,0.188014,0.920452
"174",0.389521,0.205043,1.78557,2.0572,0.169409,0.937592
"175",0.407262,0.487994,2.51167,1.53642,0.20185,0.75867
"176",0.405078,0.317211,2.88337,1.77923,0.191726,0.708654
"177",0.407007,0.349076,1.11426,2.40552,0.17114,0.93098
"178",0.401617,0.310323,2.72233,1.79887,0.159233,0.884095
"179",0.365328,0.221019,2.48643,1.44764,0.14435,0.973273
"180",0.474184,0.390407,2.22874,2.04611,0.151026,0.969086
"181",0.446694,0.231988,1.93408,1.0403,0.164882,0.964996
"182",0.446694,0.231988,1.93408,1.0403,0.164882,0.964996
"183",0.406839,0.299259,1.67271,2.21314,0.156243,0.962796
"184",0.436548,0.12857,1.24295,2.59542,0.170469,0.920598
"185",0.402178,0.221789,1.32664,2.44305,0.156425,0.895752
"186",0.403929,0.19591,1.45698,2.40769,0.165174,0.872004
"187",0.421581,0.23471,1.31196,3.3836,0.168245,0.844602
"188",0.410364,0.257519,1.53908,3.10171,0.166918,0.787182
"189",0.386555,0.258648,1.76549,2.11524,0.145156,0.918856
"190",0.345664,0.238158,1.42585,3.77109,0.151329,0.85434
"191",0.472253,0.221533,1.74688,2.22344,0.148681,0.991041
"192",0.33372,0.385785,1.03129,1.75805,0.129088,0.985069
"193",0.3539,0.229862,1.3388,1.80782,0.194612,0.834259
"194",0.489315,0.5427,2.30113,1.31533,0.146544,0.938908
