# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = SIR_typhi_one_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 50
#       term_buffer = 45
#       window = 5
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 4
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = temp.data.R
# init = temp.init.R
# random
#   seed = 959355769
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,blood.1,blood.2,blood.3,blood.4,prop
# Adaptation terminated
# Step size = 0.193936
# Diagonal elements of inverse mass matrix:
# 1.63706, 0.0746066, 0.472884, 0.0133464, 0.147909, 0.423134

-24.8782,0.985239,0.193936,4,15,0,1.43708,1.33946,1.59414,0.127909,2.31959,0.0412588,0.376499,1.14524,1.43708,1.43708,0.0412588,0.120066,0.120066,0.318682,0.318682,0.901686
-27.2688,0.538988,0.193936,2,3,0,1.71583,1.25317,1.73918,0.128692,2.47352,0.0478609,0.490037,1.41442,1.71583,1.71583,0.0478609,0.120756,0.120756,0.320282,0.320282,0.915712
-30.3972,0.781309,0.193936,4,15,0,4.80174,1.96838,1.96468,0.110231,4.92481,0.0068479,0.670722,4.12853,4.80174,4.80174,0.0068479,0.104373,0.104373,0.281575,0.281575,0.992736
-29.7012,0.995105,0.193936,4,15,0,4.8037,1.75765,1.6141,0.103177,3.73418,0.0071543,0.828394,3.84743,4.8037,4.8037,0.0071543,0.0980327,0.0980327,0.266209,0.266209,0.976107
-26.0379,0.952986,0.193936,4,15,0,3.91658,2.58344,1.60007,0.117588,2.67384,0.0195977,0.295756,3.12589,3.91658,3.91658,0.0195977,0.110938,0.110938,0.297258,0.297258,0.931014
-26.1521,0.991676,0.193936,3,7,0,4.32769,2.57449,1.12881,0.118524,2.66081,0.016617,0.32974,2.92804,4.32769,4.32769,0.016617,0.11177,0.11177,0.299228,0.299228,0.930109
-26.0337,0.993471,0.193936,5,31,0,1.75655,0.998344,2.44566,0.168603,0.897547,0.0209247,0.647268,1.60431,1.75655,1.75655,0.0209247,0.155156,0.155156,0.396982,0.396982,0.592432
-27.4101,0.996529,0.193936,3,7,0,1.89207,0.92145,2.06094,0.192389,0.776796,0.0249112,0.752935,1.65115,1.89207,1.89207,0.0249112,0.175014,0.175014,0.438514,0.438514,0.540123
-26.4082,0.991012,0.193936,4,15,0,2.30159,0.977369,1.66662,0.181876,0.85907,0.0202085,0.866086,1.86685,2.30159,2.30159,0.0202085,0.166295,0.166295,0.420522,0.420522,0.576444
-28.8242,0.883698,0.193936,4,15,0,2.46409,1.12071,2.89634,0.181347,0.619845,0.015932,0.803414,2.32801,2.46409,2.46409,0.015932,0.165854,0.165854,0.419603,0.419603,0.461972
