# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = SIR_typhi_notheta_norI2_jun3_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 50
#       term_buffer = 45
#       window = 5
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 4
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = temp.data.R
# init = temp.init.R
# random
#   seed = 1596530953
# output
#   file = outputnotheta_norI2_3jun.csv
#   diagnostic_file =  (Default)
#   refresh = 10
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,blood.1,blood.2,blood.3,blood.4,prop
# Adaptation terminated
# Step size = 0.290138
# Diagonal elements of inverse mass matrix:
# 1.20564, 0.0874221, 0.235342, 0.0146673, 0.131796, 0.135036

-34.7907,0.983211,0.290138,4,15,0,0.765723,1.91246,4.13933,0.139667,1.48198,0.352151,0.11311,0.753523,0.765723,0.765723,0.352151,0.130352,0.130352,0.342297,0.342297,0.772813
-37.5442,0.92529,0.290138,3,7,0,0.779313,1.86166,0.975844,0.16774,4.19154,0.243952,0.121116,0.48561,0.779313,0.779313,0.243952,0.154426,0.154426,0.395419,0.395419,0.984877
-37.5347,0.856618,0.290138,3,7,0,0.961669,1.90541,2.20869,0.166724,4.38603,0.221288,0.143059,0.856035,0.961669,0.961669,0.221288,0.153567,0.153567,0.393574,0.393574,0.98755
-35.0674,0.977368,0.290138,3,7,0,0.793765,2.17213,0.979321,0.151454,3.29629,0.230155,0.0904369,0.495654,0.793765,0.793765,0.230155,0.140543,0.140543,0.365147,0.365147,0.96298
-32.4763,0.913634,0.290138,4,15,0,0.808153,1.89199,0.90566,0.144078,2.28983,0.263713,0.121847,0.481437,0.808153,0.808153,0.263713,0.13418,0.13418,0.350943,0.350943,0.898716
-36.4753,0.751475,0.290138,4,15,0,0.82306,1.44703,3.89693,0.139733,3.12297,0.113073,0.193639,0.806349,0.82306,0.82306,0.113073,0.13041,0.13041,0.342427,0.342427,0.955974
-32.0417,0.984843,0.290138,4,15,0,0.658733,1.55418,2.71859,0.139892,2.69673,0.209155,0.139232,0.615278,0.658733,0.658733,0.209155,0.130548,0.130548,0.342741,0.342741,0.932574
-34.628,0.44694,0.290138,4,15,0,0.960942,1.58004,0.566844,0.151973,1.36895,0.267737,0.197922,0.415787,0.960942,0.960942,0.267737,0.140989,0.140989,0.366135,0.366135,0.745627
-38.3506,0.815966,0.290138,3,7,0,0.871009,2.43018,0.50423,0.162571,0.88234,0.283286,0.0766672,0.344945,0.871009,0.871009,0.283286,0.150044,0.150044,0.385971,0.385971,0.586187
-34.9479,0.776061,0.290138,4,15,0,0.926611,1.30842,0.867149,0.167601,1.60383,0.225229,0.250413,0.537298,0.926611,0.926611,0.225229,0.154308,0.154308,0.395166,0.395166,0.798875
