lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,R0,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,params.6,params.7,params.8,params.9,blood.1,blood.2,blood.3,blood.4,blood.5,blood.6,blood.7,blood.8,prop
# Adaptation terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Step size = 0.464262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Diagonal elements of inverse mass matrix:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 0.501615,0.120071,0.243412,0.0151765,0.0200817,0.344187,,,,,,,,,,,,,,,,,,,,,,,,,
37.5159,0.802884,0.464262,4,15,0,-34.9161,1.28823,2.00731,0.290681,0.141011,0.1708,0.341164,0.0433438,0.0813796,0.32262,0.32262,0.32262,0.32262,0.32262,0.32262,0.341164,0.431096,0.431096,0.431096,0.718915,0.718915,0.718915,0.718915,0.718915,0.157009
36.5937,0.957892,0.464262,3,7,0,-34.4397,1.30673,3.55625,0.328564,0.122029,0.180364,0.292809,0.0093417,0.0916454,0.327254,0.327254,0.327254,0.327254,0.327254,0.327254,0.292809,0.386219,0.386219,0.386219,0.666551,0.666551,0.666551,0.666551,0.666551,0.165034
36.6508,0.757215,0.464262,4,31,0,-34.3623,1.1131,1.89752,0.52817,0.149424,0.156181,0.251921,0.0417974,0.114381,0.278762,0.278762,0.278762,0.278762,0.278762,0.278762,0.251921,0.449922,0.449922,0.449922,0.739412,0.739412,0.739412,0.739412,0.739412,0.144596
37.1997,0.953861,0.464262,4,15,0,-35.099,1.13811,1.55465,0.426045,0.135455,0.162342,0.318527,0.060215,0.0988787,0.285024,0.285024,0.285024,0.285024,0.285024,0.285024,0.318527,0.418311,0.418311,0.418311,0.704502,0.704502,0.704502,0.704502,0.704502,0.14985
36.5252,0.976927,0.464262,3,7,0,-35.583,1.23881,3.54834,0.356486,0.128522,0.195539,0.437934,0.00892642,0.0930322,0.310244,0.310244,0.310244,0.310244,0.310244,0.310244,0.437934,0.401954,0.401954,0.401954,0.685476,0.685476,0.685476,0.685476,0.685476,0.177609
35.7494,1,0.464262,3,7,0,-34.3458,1.24358,1.61574,0.285895,0.0991742,0.220861,0.320663,0.0618964,0.0774421,0.31144,0.31144,0.31144,0.31144,0.31144,0.31144,0.320663,0.327462,0.327462,0.327462,0.590397,0.590397,0.590397,0.590397,0.590397,0.198172
37.3209,0.822097,0.464262,3,15,0,-32.369,1.27742,2.40356,0.281936,0.155682,0.182205,0.218372,0.0289189,0.078596,0.319914,0.319914,0.319914,0.319914,0.319914,0.319914,0.218372,0.463521,0.463521,0.463521,0.753684,0.753684,0.753684,0.753684,0.753684,0.16657
36.742,0.778993,0.464262,2,7,0,-30.2286,1.21633,2.05183,0.15731,0.14364,0.184908,0.331039,0.0391426,0.0443399,0.304613,0.304613,0.304613,0.304613,0.304613,0.304613,0.331039,0.437048,0.437048,0.437048,0.725489,0.725489,0.725489,0.725489,0.725489,0.168819
36.8539,0.715386,0.464262,3,15,0,-33.1837,1.18172,2.76717,0.343917,0.132663,0.197553,0.501879,0.0185973,0.0861244,0.295948,0.295948,0.295948,0.295948,0.295948,0.295948,0.501879,0.411778,0.411778,0.411778,0.696982,0.696982,0.696982,0.696982,0.696982,0.179263
37.4871,0.87522,0.464262,3,7,0,-34.775,1.27727,1.81577,0.246423,0.130375,0.179016,0.197816,0.052048,0.0698638,0.319877,0.319877,0.319877,0.319877,0.319877,0.319877,0.197816,0.40637,0.40637,0.40637,0.690679,0.690679,0.690679,0.690679,0.690679,0.163907
